University Name,District,Cutoff,Entrance Percentage,Department,Output
Christ University,Bangalore,12,25,Electricals and Electronics,No
Christ University,Bangalore,100,60,Electronics and Communication,Yes
Christ University,Bangalore,120,84,Electronics and Communication,Yes
Christ University,Bangalore,180,74,Electronics and Communication,Yes
Christ University,Bangalore,20,14,Electronics and Communication,No
Christ University,Bangalore,60,54,Electronics and Communication,No
Christ University,Bangalore,100,60,Civil Engineering,Yes
Christ University,Bangalore,156,87,Civil Engineering,Yes
Christ University,Bangalore,36,7,Civil Engineering,No
Christ University,Bangalore,56,27,Civil Engineering,No
Christ University,Bangalore,6,47,Civil Engineering,No
Christ University,Bangalore,76,37,Civil Engineering,No
Christ University,Bangalore,100,60,Mechanical Engineering,Yes
Christ University,Bangalore,136,71,Mechanical Engineering,Yes
Christ University,Bangalore,196,81,Mechanical Engineering,Yes
Christ University,Bangalore,36,11,Mechanical Engineering,No
Christ University,Bangalore,56,51,Mechanical Engineering,No
Christ University,Bangalore,76,31,Mechanical Engineering,No
CV Raman Global University,Bhubaneswar,120,70,Computer Science,Yes
CV Raman Global University,Bhubaneswar,170,88,Computer Science,Yes
CV Raman Global University,Bhubaneswar,144,98,Computer Science,Yes
CV Raman Global University,Bhubaneswar,106,18,Computer Science,No
CV Raman Global University,Bhubaneswar,84,48,Computer Science,No
CV Raman Global University,Bhubaneswar,32,28,Computer Science,No
CV Raman Global University,Bhubaneswar,120,70,Information Technology,Yes
CV Raman Global University,Bhubaneswar,162,89,Information Technology,Yes
CV Raman Global University,Bhubaneswar,50,19,Information Technology,No
CV Raman Global University,Bhubaneswar,72,39,Information Technology,No
CV Raman Global University,Bhubaneswar,104,29,Information Technology,No
CV Raman Global University,Bhubaneswar,20,9,Information Technology,No
CV Raman Global University,Bhubaneswar,120,70,Electricals and Electronics,Yes
CV Raman Global University,Bhubaneswar,170,83,Electricals and Electronics,Yes
CV Raman Global University,Bhubaneswar,150,93,Electricals and Electronics,Yes
CV Raman Global University,Bhubaneswar,110,13,Electricals and Electronics,No
CV Raman Global University,Bhubaneswar,30,23,Electricals and Electronics,No
CV Raman Global University,Bhubaneswar,70,53,Electricals and Electronics,No
CV Raman Global University,Bhubaneswar,120,70,Electronics and Communication,Yes
CV Raman Global University,Bhubaneswar,188,82,Electronics and Communication,Yes
CV Raman Global University,Bhubaneswar,168,92,Electronics and Communication,Yes
CV Raman Global University,Bhubaneswar,28,12,Electronics and Communication,No
CV Raman Global University,Bhubaneswar,68,32,Electronics and Communication,No
CV Raman Global University,Bhubaneswar,48,52,Electronics and Communication,No
CV Raman Global University,Bhubaneswar,120,70,Civil Engineering,Yes
CV Raman Global University,Bhubaneswar,166,86,Civil Engineering,Yes
CV Raman Global University,Bhubaneswar,66,16,Civil Engineering,No
CV Raman Global University,Bhubaneswar,26,46,Civil Engineering,No
CV Raman Global University,Bhubaneswar,46,66,Civil Engineering,No
CV Raman Global University,Bhubaneswar,120,70,Mechanical Engineering,Yes
CV Raman Global University,Bhubaneswar,144,91,Mechanical Engineering,Yes
CV Raman Global University,Bhubaneswar,44,11,Mechanical Engineering,No
CV Raman Global University,Bhubaneswar,64,21,Mechanical Engineering,No
CV Raman Global University,Bhubaneswar,24,31,Mechanical Engineering,No
CV Raman Global University,Bhubaneswar,70,41,Mechanical Engineering,No
DAIICT Gandhinagar,Gandhinagar,120,85,Information Technology,Yes
DAIICT Gandhinagar,Gandhinagar,152,95,Information Technology,Yes
DAIICT Gandhinagar,Gandhinagar,178,99,Information Technology,Yes
DAIICT Gandhinagar,Gandhinagar,100,15,Information Technology,No
DAIICT Gandhinagar,Gandhinagar,26,5,Information Technology,No
Dayalbagh Educational Institute,Agra,130,80,Civil Engineering,Yes
Dayalbagh Educational Institute,Agra,198,88,Civil Engineering,Yes
Dayalbagh Educational Institute,Agra,158,90,Civil Engineering,Yes
Dayalbagh Educational Institute,Agra,178,98,Civil Engineering,Yes
Dayalbagh Educational Institute,Agra,98,40,Civil Engineering,No
Dayalbagh Educational Institute,Agra,68,70,Civil Engineering,No
Dayalbagh Educational Institute,Agra,130,80,Mechanical Engineering,Yes
Dayalbagh Educational Institute,Agra,154,84,Mechanical Engineering,Yes
Dayalbagh Educational Institute,Agra,174,94,Mechanical Engineering,Yes
Dayalbagh Educational Institute,Agra,34,41,Mechanical Engineering,No
Dayalbagh Educational Institute,Agra,54,14,Mechanical Engineering,No
Dayalbagh Educational Institute,Agra,74,74,Mechanical Engineering,No
Delhi Technological University, New Delhi,120,70,Computer Science,Yes
Delhi Technological University, New Delhi,150,75,Computer Science,Yes
Delhi Technological University, New Delhi,170,93,Computer Science,Yes
Delhi Technological University, New Delhi,192,81,Computer Science,Yes
Delhi Technological University, New Delhi,104,38,Computer Science,No
Delhi Technological University, New Delhi,64,69,Computer Science,No
Delhi Technological University, New Delhi,38,51,Computer Science,No
Delhi Technological University, New Delhi,120,70,Information Technology,Yes
Delhi Technological University, New Delhi,180,84,Information Technology,Yes
Delhi Technological University, New Delhi,42,14,Information Technology,No
Delhi Technological University, New Delhi,36,21,Information Technology,No
Delhi Technological University, New Delhi,18,32,Information Technology,No
Delhi Technological University, New Delhi,120,70,Electronics and Communication,Yes
Delhi Technological University, New Delhi,168,92,Electronics and Communication,Yes
Delhi Technological University, New Delhi,28,12,Electronics and Communication,No
Delhi Technological University, New Delhi,88,2,Electronics and Communication,No
Delhi Technological University, New Delhi,48,32,Electronics and Communication,No
Delhi Technological University, New Delhi,120,70,Civil Engineering,Yes
Delhi Technological University, New Delhi,154,82,Civil Engineering,Yes
Delhi Technological University, New Delhi,194,92,Civil Engineering,Yes
Delhi Technological University, New Delhi,34,22,Civil Engineering,No
Delhi Technological University, New Delhi,54,32,Civil Engineering,No
Delhi Technological University, New Delhi,74,42,Civil Engineering,No
Delhi Technological University, New Delhi,120,70,Mechanical Engineering,Yes
Delhi Technological University, New Delhi,146,82,Mechanical Engineering,Yes
Delhi Technological University, New Delhi,164,92,Mechanical Engineering,Yes
Delhi Technological University, New Delhi,26,12,Mechanical Engineering,No
Delhi Technological University, New Delhi,66,62,Mechanical Engineering,No
Delhi Technological University, New Delhi,106,52,Mechanical Engineering,No
Dhanalakshmi Srinivasan University,Tiruchirappalli,140,50,Electricals and Electronics,Yes
Dhanalakshmi Srinivasan University,Tiruchirappalli,174,85,Electricals and Electronics,Yes
Dhanalakshmi Srinivasan University,Tiruchirappalli,194,75,Electricals and Electronics,Yes
Dhanalakshmi Srinivasan University,Tiruchirappalli,154,95,Electricals and Electronics,Yes
Dhanalakshmi Srinivasan University,Tiruchirappalli,134,15,Electricals and Electronics,No
Dhanalakshmi Srinivasan University,Tiruchirappalli,34,35,Electricals and Electronics,No
Dharmsinh Desai University,Nadiad,110,80,Information Technology,Yes
Dharmsinh Desai University,Nadiad,182,93,Information Technology,Yes
Dharmsinh Desai University,Nadiad,134,83,Information Technology,Yes
Dharmsinh Desai University,Nadiad,100,33,Information Technology,No
Dharmsinh Desai University,Nadiad,16,13,Information Technology,No
Dr MGR Educational and Research Institute,Chennai,130,55,Computer Science,Yes
Dr MGR Educational and Research Institute,Chennai,146,72,Computer Science,Yes
Dr MGR Educational and Research Institute,Chennai,164,82,Computer Science,Yes
Dr MGR Educational and Research Institute,Chennai,68,22,Computer Science,No
Dr MGR Educational and Research Institute,Chennai,118,12,Computer Science,No
Dr MGR Educational and Research Institute,Chennai,130,55,Information Technology,Yes
Dr MGR Educational and Research Institute,Chennai,146,74,Information Technology,Yes
Dr MGR Educational and Research Institute,Chennai,188,84,Information Technology,Yes
Dr MGR Educational and Research Institute,Chennai,34,14,Information Technology,No
Dr MGR Educational and Research Institute,Chennai,58,24,Information Technology,No
Dr MGR Educational and Research Institute,Chennai,68,44,Information Technology,No
Dr MGR Educational and Research Institute,Chennai,130,55,Electricals and Electronics,Yes
Dr MGR Educational and Research Institute,Chennai,144,80,Electricals and Electronics,Yes
Dr MGR Educational and Research Institute,Chennai,184,60,Electricals and Electronics,Yes
Dr MGR Educational and Research Institute,Chennai,24,10,Electricals and Electronics,No
Dr MGR Educational and Research Institute,Chennai,84,30,Electricals and Electronics,No
Dr MGR Educational and Research Institute,Chennai,130,55,Electronics and Communication,Yes
Dr MGR Educational and Research Institute,Chennai,152,71,Electronics and Communication,Yes
Dr MGR Educational and Research Institute,Chennai,172,91,Electronics and Communication,Yes
Dr MGR Educational and Research Institute,Chennai,92,11,Electronics and Communication,No
Dr MGR Educational and Research Institute,Chennai,52,31,Electronics and Communication,No
Dr MGR Educational and Research Institute,Chennai,130,55,Civil Engineering,Yes
Dr MGR Educational and Research Institute,Chennai,158,64,Civil Engineering,Yes
Dr MGR Educational and Research Institute,Chennai,178,84,Civil Engineering,Yes
Dr MGR Educational and Research Institute,Chennai,38,14,Civil Engineering,No
Dr MGR Educational and Research Institute,Chennai,98,34,Civil Engineering,No
Dr MGR Educational and Research Institute,Chennai,118,24,Civil Engineering,No
Dr MGR Educational and Research Institute,Chennai,130,55,Mechanical Engineering,Yes
Dr MGR Educational and Research Institute,Chennai,198,74,Mechanical Engineering,Yes
Dr MGR Educational and Research Institute,Chennai,178,84,Mechanical Engineering,Yes
Dr MGR Educational and Research Institute,Chennai,38,44,Mechanical Engineering,No
Dr MGR Educational and Research Institute,Chennai,98,34,Mechanical Engineering,No
Dr MGR Educational and Research Institute,Chennai,78,14,Mechanical Engineering,No
Eklavya University,Damoh,110,85,Information Technology,Yes
Eklavya University,Damoh,184,92,Information Technology,Yes
Eklavya University,Damoh,144,88,Information Technology,Yes
Eklavya University,Damoh,84,95,Information Technology,Yes
Eklavya University,Damoh,104,12,Information Technology,No
Eklavya University,Damoh,20,32,Information Technology,No
Eklavya University,Damoh,110,85,Electricals and Electronics,Yes
Eklavya University,Damoh,172,94,Electricals and Electronics,Yes
Eklavya University,Damoh,152,88,Electricals and Electronics,Yes
Eklavya University,Damoh,92,14,Electricals and Electronics,No
Eklavya University,Damoh,52,74,Electricals and Electronics,No
Galgotias University,Greater Noida,130,60,Electricals and Electronics,Yes
Galgotias University,Greater Noida,156,79,Electricals and Electronics,Yes
Galgotias University,Greater Noida,178,89,Electricals and Electronics,Yes
Galgotias University,Greater Noida,78,19,Electricals and Electronics,No
Galgotias University,Greater Noida,58,39,Electricals and Electronics,No
Galgotias University,Greater Noida,38,49,Electricals and Electronics,No
GLA University,Mathura,110,45,Electricals and Electronics,Yes
GLA University,Mathura,148,88,Electricals and Electronics,Yes
GLA University,Mathura,168,58,Electricals and Electronics,Yes
GLA University,Mathura,88,17,Electricals and Electronics,No
GLA University,Mathura,28,27,Electricals and Electronics,No
Graphic Era University,Dehradun,120,50,Computer Science,Yes
Graphic Era University,Dehradun,146,68,Computer Science,Yes
Graphic Era University,Dehradun,172,93,Computer Science,Yes
Graphic Era University,Dehradun,46,42,Computer Science,No
Graphic Era University,Dehradun,30,38,Computer Science,No
Graphic Era University,Dehradun,70,19,Computer Science,No
Graphic Era University,Dehradun,28,4,Computer Science,No
Graphic Era University,Dehradun,120,50,Electronics and Communication,Yes
Graphic Era University,Dehradun,142,66,Electronics and Communication,Yes
Graphic Era University,Dehradun,162,86,Electronics and Communication,Yes
Graphic Era University,Dehradun,2,16,Electronics and Communication,No
Graphic Era University,Dehradun,102,36,Electronics and Communication,No
Graphic Era University,Dehradun,120,50,Civil Engineering,Yes
Graphic Era University,Dehradun,152,69,Civil Engineering,Yes
Graphic Era University,Dehradun,172,89,Civil Engineering,Yes
Graphic Era University,Dehradun,192,79,Civil Engineering,Yes
Graphic Era University,Dehradun,32,19,Civil Engineering,No
Graphic Era University,Dehradun,72,49,Civil Engineering,No
Graphic Era University,Dehradun,120,50,Mechanical Engineering,Yes
Graphic Era University,Dehradun,142,72,Mechanical Engineering,Yes
Graphic Era University,Dehradun,182,82,Mechanical Engineering,Yes
Graphic Era University,Dehradun,42,22,Mechanical Engineering,No
Graphic Era University,Dehradun,62,32,Mechanical Engineering,No
Guru Gobind Singh Indraprastha University,New Delhi,110,55,Computer Science,Yes
Guru Gobind Singh Indraprastha University,New Delhi,170,92,Computer Science,Yes
Guru Gobind Singh Indraprastha University,New Delhi,170,92,Computer Science,No
Guru Gobind Singh Indraprastha University,New Delhi,170,92,Computer Science,No
Guru Gobind Singh Indraprastha University,New Delhi,170,92,Computer Science,No
Guru Gobind Singh Indraprastha University,New Delhi,110,55,Information Technology,Yes
Guru Gobind Singh Indraprastha University,New Delhi,118,76,Information Technology,Yes
Guru Gobind Singh Indraprastha University,New Delhi,138,96,Information Technology,Yes
Guru Gobind Singh Indraprastha University,New Delhi,56,16,Information Technology,No
Guru Gobind Singh Indraprastha University,New Delhi,52,26,Information Technology,No
Guru Gobind Singh Indraprastha University,New Delhi,110,55,Electricals and Electronics,Yes
Guru Gobind Singh Indraprastha University,New Delhi,138,77,Electricals and Electronics,Yes
Guru Gobind Singh Indraprastha University,New Delhi,178,97,Electricals and Electronics,Yes
Guru Gobind Singh Indraprastha University,New Delhi,98,47,Electricals and Electronics,No
Guru Gobind Singh Indraprastha University,New Delhi,78,27,Electricals and Electronics,No
Guru Gobind Singh Indraprastha University,New Delhi,38,37,Electricals and Electronics,No
Guru Gobind Singh Indraprastha University,New Delhi,110,55,Electronics and Communication,Yes
Guru Gobind Singh Indraprastha University,New Delhi,142,86,Electronics and Communication,Yes
Guru Gobind Singh Indraprastha University,New Delhi,22,16,Electronics and Communication,No
Guru Gobind Singh Indraprastha University,New Delhi,82,36,Electronics and Communication,No
Guru Gobind Singh Indraprastha University,New Delhi,102,46,Electronics and Communication,No
Guru Gobind Singh Indraprastha University,New Delhi,110,55,Civil Engineering,Yes
Guru Gobind Singh Indraprastha University,New Delhi,172,89,Civil Engineering,Yes
Guru Gobind Singh Indraprastha University,New Delhi,32,19,Civil Engineering,No
Guru Gobind Singh Indraprastha University,New Delhi,72,49,Civil Engineering,No
Guru Gobind Singh Indraprastha University,New Delhi,52,39,Civil Engineering,No
Guru Gobind Singh Indraprastha University,New Delhi,110,55,Mechanical Engineering,Yes
Guru Gobind Singh Indraprastha University,New Delhi,142,82,Mechanical Engineering,Yes
Guru Gobind Singh Indraprastha University,New Delhi,16,22,Mechanical Engineering,No
Guru Gobind Singh Indraprastha University,New Delhi,22,42,Mechanical Engineering,No
Guru Gobind Singh Indraprastha University,New Delhi,62,32,Mechanical Engineering,No
Guru Jambheshwar University of Science and Technology,Hisar,150,40,Information Technology,Yes
Guru Jambheshwar University of Science and Technology,Hisar,158,95,Information Technology,Yes
Guru Jambheshwar University of Science and Technology,Hisar,164,15,Information Technology,No
Guru Jambheshwar University of Science and Technology,Hisar,140,35,Information Technology,No
Guru Jambheshwar University of Science and Technology,Hisar,122,45,Information Technology,No
Guru Jambheshwar University of Science and Technology,Hisar,150,40,Electronics and Communication,Yes
Guru Jambheshwar University of Science and Technology,Hisar,174,51,Electronics and Communication,Yes
Guru Jambheshwar University of Science and Technology,Hisar,194,81,Electronics and Communication,Yes
Guru Jambheshwar University of Science and Technology,Hisar,34,11,Electronics and Communication,No
Guru Jambheshwar University of Science and Technology,Hisar,134,31,Electronics and Communication,No
Guru Jambheshwar University of Science and Technology,Hisar,150,40,Civil Engineering,Yes
Guru Jambheshwar University of Science and Technology,Hisar,176,56,Civil Engineering,Yes
Guru Jambheshwar University of Science and Technology,Hisar,196,76,Civil Engineering,Yes
Guru Jambheshwar University of Science and Technology,Hisar,58,16,Civil Engineering,No
Guru Jambheshwar University of Science and Technology,Hisar,98,36,Civil Engineering,No
Guru Jambheshwar University of Science and Technology,Hisar,150,40,Mechanical Engineering,Yes
Guru Jambheshwar University of Science and Technology,Hisar,174,75,Mechanical Engineering,Yes
Guru Jambheshwar University of Science and Technology,Hisar,194,85,Mechanical Engineering,Yes
Guru Jambheshwar University of Science and Technology,Hisar,34,15,Mechanical Engineering,No
Guru Jambheshwar University of Science and Technology,Hisar,94,35,Mechanical Engineering,No
Guru Jambheshwar University of Science and Technology,Hisar,74,45,Mechanical Engineering,No
Guru Nanak Dev University,Amritsar,100,40,Computer Science,Yes
Guru Nanak Dev University,Amritsar,138,59,Computer Science,Yes
Guru Nanak Dev University,Amritsar,152,68,Computer Science,Yes
Guru Nanak Dev University,Amritsar,164,73,Computer Science,Yes
Guru Nanak Dev University,Amritsar,72,32,Computer Science,No
Guru Nanak Dev University,Amritsar,78,28,Computer Science,No
Guru Nanak Dev University,Amritsar,92,16,Computer Science,No
Guru Nanak Dev University,Amritsar,100,40,Electronics and Communication,Yes
Guru Nanak Dev University,Amritsar,130,95,Electronics and Communication,Yes
Guru Nanak Dev University,Amritsar,190,74,Electronics and Communication,Yes
Guru Nanak Dev University,Amritsar,30,44,Electronics and Communication,No
Guru Nanak Dev University,Amritsar,70,34,Electronics and Communication,No
Guru Nanak Dev University,Amritsar,100,40,Civil Engineering,Yes
Guru Nanak Dev University,Amritsar,190,93,Civil Engineering,Yes
Guru Nanak Dev University,Amritsar,30,13,Civil Engineering,No
Guru Nanak Dev University,Amritsar,70,23,Civil Engineering,No
Guru Nanak Dev University,Amritsar,50,43,Civil Engineering,No
Guru Nanak Dev University,Amritsar,90,53,Civil Engineering,No
Guru Nanak Dev University,Amritsar,100,40,Mechanical Engineering,Yes
Guru Nanak Dev University,Amritsar,126,54,Mechanical Engineering,Yes
Guru Nanak Dev University,Amritsar,166,84,Mechanical Engineering,Yes
Guru Nanak Dev University,Amritsar,186,74,Mechanical Engineering,Yes
Guru Nanak Dev University,Amritsar,26,34,Mechanical Engineering,No
Guru Nanak Dev University,Amritsar,86,24,Mechanical Engineering,No
Hindustan Institute of Technology and Science,Chennai,100,65,Computer Science,Yes
Hindustan Institute of Technology and Science,Chennai,130,88,Computer Science,Yes
Hindustan Institute of Technology and Science,Chennai,166,98,Computer Science,Yes
Hindustan Institute of Technology and Science,Chennai,48,18,Computer Science,No
Hindustan Institute of Technology and Science,Chennai,72,28,Computer Science,No
Hindustan Institute of Technology and Science,Chennai,24,37,Computer Science,No
Hindustan Institute of Technology and Science,Chennai,100,65,Information Technology,Yes
Hindustan Institute of Technology and Science,Chennai,138,99,Information Technology,Yes
Hindustan Institute of Technology and Science,Chennai,164,89,Information Technology,Yes
Hindustan Institute of Technology and Science,Chennai,42,19,Information Technology,No
Hindustan Institute of Technology and Science,Chennai,84,29,Information Technology,No
Hindustan Institute of Technology and Science,Chennai,68,39,Information Technology,No
Hindustan Institute of Technology and Science,Chennai,100,65,Electricals and Electronics,Yes
Hindustan Institute of Technology and Science,Chennai,188,72,Electricals and Electronics,Yes
Hindustan Institute of Technology and Science,Chennai,88,8,Electricals and Electronics,No
Hindustan Institute of Technology and Science,Chennai,28,12,Electricals and Electronics,No
Hindustan Institute of Technology and Science,Chennai,68,32,Electricals and Electronics,No
Hindustan Institute of Technology and Science,Chennai,100,65,Electronics and Communication,Yes
Hindustan Institute of Technology and Science,Chennai,130,72,Electronics and Communication,Yes
Hindustan Institute of Technology and Science,Chennai,170,82,Electronics and Communication,Yes
Hindustan Institute of Technology and Science,Chennai,30,22,Electronics and Communication,No
Hindustan Institute of Technology and Science,Chennai,70,32,Electronics and Communication,No
Hindustan Institute of Technology and Science,Chennai,50,52,Electronics and Communication,No
Hindustan Institute of Technology and Science,Chennai,100,65,Civil Engineering,Yes
Hindustan Institute of Technology and Science,Chennai,124,75,Civil Engineering,Yes
Hindustan Institute of Technology and Science,Chennai,164,85,Civil Engineering,Yes
Hindustan Institute of Technology and Science,Chennai,4,15,Civil Engineering,No
Hindustan Institute of Technology and Science,Chennai,26,35,Civil Engineering,No
Hindustan Institute of Technology and Science,Chennai,44,45,Civil Engineering,No
Hindustan Institute of Technology and Science,Chennai,100,65,Mechanical Engineering,Yes
Hindustan Institute of Technology and Science,Chennai,168,70,Mechanical Engineering,Yes
Hindustan Institute of Technology and Science,Chennai,188,80,Mechanical Engineering,Yes
Hindustan Institute of Technology and Science,Chennai,8,10,Mechanical Engineering,No
Hindustan Institute of Technology and Science,Chennai,28,40,Mechanical Engineering,No
Hindustan Institute of Technology and Science,Chennai,68,30,Mechanical Engineering,No
Indraprastha Institute of Information Technology,New Delhi,110,80,Computer Science,Yes
Indraprastha Institute of Information Technology,New Delhi,136,91,Computer Science,Yes
Indraprastha Institute of Information Technology,New Delhi,170,81,Computer Science,Yes
Indraprastha Institute of Information Technology,New Delhi,184,88,Computer Science,Yes
Indraprastha Institute of Information Technology,New Delhi,64,41,Computer Science,No
Indraprastha Institute of Information Technology,New Delhi,30,31,Computer Science,No
Indraprastha Institute of Information Technology,New Delhi,18,21,Computer Science,No
Indraprastha Institute of Information Technology,New Delhi,110,80,Information Technology,Yes
Indraprastha Institute of Information Technology,New Delhi,138,92,Information Technology,Yes
Indraprastha Institute of Information Technology,New Delhi,198,82,Information Technology,Yes
Indraprastha Institute of Information Technology,New Delhi,54,12,Information Technology,No
Indraprastha Institute of Information Technology,New Delhi,78,32,Information Technology,No
Indraprastha Institute of Information Technology,New Delhi,34,42,Information Technology,No
Indraprastha Institute of Information Technology,New Delhi,110,80,Electronics and Communication,Yes
Indraprastha Institute of Information Technology,New Delhi,186,88,Electronics and Communication,Yes
Indraprastha Institute of Information Technology,New Delhi,146,93,Electronics and Communication,Yes
Indraprastha Institute of Information Technology,New Delhi,126,99,Electronics and Communication,Yes
Indraprastha Institute of Information Technology,New Delhi,6,13,Electronics and Communication,No
Indraprastha Institute of Information Technology,New Delhi,60,73,Electronics and Communication,No
International Institute of Information Technology,Hyderabad,150,75,Computer Science,Yes
International Institute of Information Technology,Hyderabad,168,87,Computer Science,Yes
International Institute of Information Technology,Hyderabad,186,97,Computer Science,Yes
International Institute of Information Technology,Hyderabad,4,47,Computer Science,No
International Institute of Information Technology,Hyderabad,130,67,Computer Science,No
International Institute of Information Technology,Hyderabad,102,17,Computer Science,No
International Institute of Information Technology,Hyderabad,150,75,Electronics and Communication,Yes
International Institute of Information Technology,Hyderabad,170,85,Electronics and Communication,Yes
International Institute of Information Technology,Hyderabad,190,95,Electronics and Communication,Yes
International Institute of Information Technology,Hyderabad,110,65,Electronics and Communication,No
International Institute of Information Technology,Hyderabad,130,55,Electronics and Communication,No
Jadavpur University,Kolkata,120,55,Computer Science,Yes
Jadavpur University,Kolkata,184,75,Computer Science,Yes
Jadavpur University,Kolkata,170,85,Computer Science,Yes
Jadavpur University,Kolkata,146,95,Computer Science,Yes
Jadavpur University,Kolkata,124,79,Computer Science,Yes
Jadavpur University,Kolkata,124,15,Computer Science,No
Jadavpur University,Kolkata,124,35,Computer Science,No
Jadavpur University,Kolkata,124,25,Computer Science,No
Jadavpur University,Kolkata,124,4,Computer Science,No
Jadavpur University,Kolkata,124,22,Computer Science,No
Jadavpur University,Kolkata,120,55,Information Technology,Yes
Jadavpur University,Kolkata,150,84,Information Technology,Yes
Jadavpur University,Kolkata,190,94,Information Technology,Yes
Jadavpur University,Kolkata,42,14,Information Technology,No
Jadavpur University,Kolkata,70,34,Information Technology,No
Jadavpur University,Kolkata,52,41,Information Technology,No
Jadavpur University,Kolkata,28,24,Information Technology,No
Jadavpur University,Kolkata,120,55,Civil Engineering,Yes
Jadavpur University,Kolkata,152,76,Civil Engineering,Yes
Jadavpur University,Kolkata,192,86,Civil Engineering,Yes
Jadavpur University,Kolkata,172,96,Civil Engineering,Yes
Jadavpur University,Kolkata,32,16,Civil Engineering,No
Jadavpur University,Kolkata,72,46,Civil Engineering,No
Jadavpur University,Kolkata,120,55,Mechanical Engineering,Yes
Jadavpur University,Kolkata,148,73,Mechanical Engineering,Yes
Jadavpur University,Kolkata,168,83,Mechanical Engineering,Yes
Jadavpur University,Kolkata,188,93,Mechanical Engineering,Yes
Jadavpur University,Kolkata,28,13,Mechanical Engineering,No
Jadavpur University,Kolkata,48,43,Mechanical Engineering,No
Jamia Hamdard, New Delhi,110,60,Computer Science,Yes
Jamia Hamdard, New Delhi,138,76,Computer Science,Yes
Jamia Hamdard, New Delhi,166,95,Computer Science,Yes
Jamia Hamdard, New Delhi,46,55,Computer Science,No
Jamia Hamdard, New Delhi,92,43,Computer Science,No
Jamia Hamdard, New Delhi,110,60,Electronics and Communication,Yes
Jamia Hamdard, New Delhi,192,85,Electronics and Communication,Yes
Jamia Hamdard, New Delhi,32,15,Electronics and Communication,No
Jamia Hamdard, New Delhi,72,45,Electronics and Communication,No
Jamia Hamdard, New Delhi,92,35,Electronics and Communication,No
Jamia Millia Islamia, New Delhi,180,65,Computer Science,Yes
Jamia Millia Islamia, New Delhi,164,92,Computer Science,Yes
Jamia Millia Islamia, New Delhi,126,53,Computer Science,Yes
Jamia Millia Islamia, New Delhi,156,88,Computer Science,Yes
Jamia Millia Islamia, New Delhi,100,50,Computer Science,Yes
Jamia Millia Islamia, New Delhi,84,45,Computer Science,No
Jamia Millia Islamia, New Delhi,46,30,Computer Science,No
Jamia Millia Islamia, New Delhi,20,26,Computer Science,No
Jamia Millia Islamia, New Delhi,98,16,Computer Science,No
Jamia Millia Islamia, New Delhi,64,2,Computer Science,No
Jamia Millia Islamia, New Delhi,26,28,Computer Science,No
Jamia Millia Islamia, New Delhi,100,50,Electronics and Communication,Yes
Jamia Millia Islamia, New Delhi,178,76,Electronics and Communication,Yes
Jamia Millia Islamia, New Delhi,198,96,Electronics and Communication,Yes
Jamia Millia Islamia, New Delhi,78,16,Electronics and Communication,No
Jamia Millia Islamia, New Delhi,38,36,Electronics and Communication,No
Jamia Millia Islamia, New Delhi,98,26,Electronics and Communication,No
Jamia Millia Islamia, New Delhi,100,50,Civil Engineering,Yes
Jamia Millia Islamia, New Delhi,132,66,Civil Engineering,Yes
Jamia Millia Islamia, New Delhi,192,86,Civil Engineering,Yes
Jamia Millia Islamia, New Delhi,32,26,Civil Engineering,No
Jamia Millia Islamia, New Delhi,72,36,Civil Engineering,No
Jamia Millia Islamia, New Delhi,92,46,Civil Engineering,No
Jamia Millia Islamia, New Delhi,100,50,Mechanical Engineering,Yes
Jamia Millia Islamia, New Delhi,124,73,Mechanical Engineering,Yes
Jamia Millia Islamia, New Delhi,172,83,Mechanical Engineering,Yes
Jamia Millia Islamia, New Delhi,44,13,Mechanical Engineering,No
Jamia Millia Islamia, New Delhi,24,43,Mechanical Engineering,No
Jamia Millia Islamia, New Delhi,64,33,Mechanical Engineering,No
Jawaharlal Nehru Technological University,Kakinada,150,60,Computer Science,Yes
Jawaharlal Nehru Technological University,Kakinada,162,76,Computer Science,Yes
Jawaharlal Nehru Technological University,Kakinada,158,96,Computer Science,Yes
Jawaharlal Nehru Technological University,Kakinada,124,16,Computer Science,No
Jawaharlal Nehru Technological University,Kakinada,28,36,Computer Science,No
Jawaharlal Nehru Technological University,Kakinada,64,26,Computer Science,No
Jawaharlal Nehru Technological University,Kakinada,150,60,Information Technology,Yes
Jawaharlal Nehru Technological University,Kakinada,194,78,Information Technology,Yes
Jawaharlal Nehru Technological University,Kakinada,140,18,Information Technology,No
Jawaharlal Nehru Technological University,Kakinada,136,8,Information Technology,No
Jawaharlal Nehru Technological University,Kakinada,42,28,Information Technology,No
Jawaharlal Nehru Technological University,Kakinada,150,60,Electricals and Electronics,Yes
Jawaharlal Nehru Technological University,Kakinada,166,72,Electricals and Electronics,Yes
Jawaharlal Nehru Technological University,Kakinada,186,82,Electricals and Electronics,Yes
Jawaharlal Nehru Technological University,Kakinada,176,92,Electricals and Electronics,Yes
Jawaharlal Nehru Technological University,Kakinada,66,22,Electricals and Electronics,No
Jawaharlal Nehru Technological University,Kakinada,86,32,Electricals and Electronics,No
Jawaharlal Nehru Technological University,Kakinada,150,60,Electronics and Communication,Yes
Jawaharlal Nehru Technological University,Kakinada,172,79,Electronics and Communication,Yes
Jawaharlal Nehru Technological University,Kakinada,192,89,Electronics and Communication,Yes
